time,open,high,low,close
1679681520,265.12,265.25,265.04,265.25
1679681580,265.23,265.4,265.16,265.36
1679681640,265.39,265.7,265.29,265.66
1679681700,265.7,265.94,265.7,265.83
1679681760,265.82,266.21,265.82,265.92
1679681820,265.7,265.75,265.65,265.66
1679681880,265.58,265.61,265.34,265.38
1679681940,265.38,265.48,265.34,265.48
1679682000,265.69,265.75,265.62,265.62
1679682060,265.62,265.68,265.61,265.68
1679682120,265.78,265.81,265.56,265.56
1679682180,265.59,265.68,265.56,265.65
1679682240,265.71,265.84,265.28,265.37
1679682300,265.36,265.54,265.35,265.39
1679682360,265.37,265.43,265.28,265.42
1679682420,265.49,265.5,265.25,265.25
1679682480,265.2,265.27,265.12,265.2
1679682540,265.2,265.6,265.2,265.52
1679682600,265.47,265.61,265.47,265.5
1679682660,265.38,265.62,265.36,265.44
1679682720,265.52,265.52,265.46,265.46
1679682780,265.48,265.69,265.43,265.69
1679682840,265.72,266.08,265.72,265.99
1679682900,265.89,265.96,265.69,265.71
1679682960,265.53,265.59,265.53,265.59
1679683020,265.6,265.66,265.49,265.49
1679683080,265.6,265.91,265.58,265.91
1679683140,266.04,266.18,265.97,266.03
1679683200,266.06,266.16,265.94,265.94
1679683260,265.9,266.06,265.88,266.06
1679683320,266.03,266.19,265.99,266.14
1679683380,266.23,266.63,266.18,266.62
1679683440,266.48,266.6,266.43,266.43
1679683500,266.4,266.59,266.34,266.45
1679683560,266.52,266.52,266.3,266.35
1679683620,266.32,266.63,266.32,266.63
1679683680,266.64,266.77,266.55,266.55
1679683740,266.49,266.49,266.34,266.39
1679683800,266.35,266.35,266.12,266.27
1679683860,266.23,266.26,266.04,266.04
1679683920,266.05,266.05,265.91,265.93
1679683980,265.94,266.07,265.91,266.06
1679684040,266.0,266.0,265.83,265.87
1679684100,265.83,266.18,265.8,266.18
1679684160,266.19,266.28,266.19,266.2
1679684220,266.19,266.28,266.03,266.28
1679684280,266.29,266.35,266.19,266.19
1679684340,266.23,266.3,266.2,266.29
1679684400,266.38,266.47,266.18,266.18
1679684460,266.24,266.33,266.24,266.25
1679684520,266.24,266.24,265.63,265.71
1679684580,265.91,265.91,265.75,265.75
1679684640,265.9,265.9,265.71,265.77
1679684700,265.81,265.81,265.49,265.8
1679684760,265.85,266.0,265.85,265.94
1679684820,266.05,266.16,265.99,266.06
1679684880,266.06,266.06,265.83,265.83
1679684940,265.92,265.92,265.82,265.82
1679685000,265.84,265.84,265.67,265.8
1679685060,265.83,266.31,265.83,266.26
1679685120,266.22,266.22,265.98,265.98
1679685180,266.04,266.14,266.04,266.06
1679685240,266.05,266.08,266.01,266.08
1679685300,265.99,266.15,265.95,266.08
1679685360,266.06,266.36,266.03,266.19
1679685420,266.26,266.58,266.26,266.56
1679685480,266.53,266.8,266.47,266.77
1679685540,266.84,267.03,266.82,266.99
1679685600,267.02,267.02,266.83,267.01
1679685660,267.1,267.45,267.08,267.41
1679685720,267.4,267.74,267.39,267.6
1679685780,267.58,267.59,267.16,267.16
1679685840,267.18,267.37,267.0,267.0
1679685900,266.95,267.19,266.91,267.0
1679685960,267.06,267.22,267.06,267.13
1679686020,267.275,267.275,266.91,266.92
1679686080,266.95,267.24,266.95,267.2
1679686140,267.29,267.32,267.22,267.23
1679686200,267.35,267.41,267.27,267.39
1679686260,267.3,267.48,267.2,267.47
1679686320,267.52,267.52,267.35,267.41
1679686380,267.46,267.67,267.33,267.46
1679686440,267.5,267.51,267.34,267.37
1679686500,267.32,267.32,267.11,267.19
1679686560,267.21,267.39,267.17,267.39
1679686620,267.36,267.52,267.28,267.52
1679686680,267.58,267.68,267.44,267.45
1679686740,267.58,267.58,267.08,267.31
1679686800,267.33,267.52,267.28,267.52
1679686860,267.48,267.73,267.48,267.55
1679686920,267.48,267.56,267.32,267.32
1679686980,267.325,267.77,267.325,267.63
1679687040,267.53,267.61,267.5,267.53
1679687100,267.45,267.57,267.41,267.56
1679687160,267.55,267.55,267.27,267.27
1679687220,267.46,267.51,267.33,267.33
1679687280,267.37,267.55,267.25,267.55
1679687340,267.41,267.61,267.41,267.58
1679687400,267.37,267.62,267.32,267.36
1679687460,267.29,267.4,267.27,267.36
1679687520,267.31,267.39,267.17,267.22
1679687580,267.2,267.21,267.03,267.2
1679687640,267.18,267.18,266.83,266.98
1679687700,267.0,267.06,266.85,266.9
1679687760,267.04,267.29,267.03,267.29
1679687820,267.28,267.54,267.28,267.41
1679687880,267.46,267.59,267.44,267.46
1679687940,267.45,267.94,267.27,267.76
1679688120,267.6,267.6,267.44,267.44
1679688840,267.44,267.44,267.44,267.44
1679690280,267.36,267.36,267.36,267.36
1679690940,267.55,267.55,267.55,267.55
1679691960,267.5,267.5,267.5,267.5
1679918460,269.9,269.9,269.9,269.9
1679921760,268.6,268.6,268.6,268.6
1679921940,268.55,268.55,268.55,268.55
1679923800,268.3,268.3,267.06,267.61
1679923860,267.18,267.28,266.27,266.44
1679923920,266.54,267.07,266.54,266.8
1679923980,266.8,266.97,266.68,266.97
1679924040,267.06,267.585,266.62,267.46
1679924100,267.38,267.45,266.59,266.77
1679924160,266.71,266.71,266.27,266.71
1679924220,266.69,266.89,266.36,266.64
1679924280,266.57,266.85,266.42,266.85
1679924340,266.83,266.89,266.62,266.66
1679924400,266.75,267.5,266.75,267.06
1679924460,267.17,268.43,267.04,268.43
1679924520,268.29,269.0,268.18,268.69
1679924580,268.87,268.87,268.75,268.75
1679924640,268.87,269.35,268.87,269.35
1679924700,269.13,269.35,269.13,269.26
1679924760,269.21,269.62,269.11,269.42
1679924820,269.47,269.48,268.78,268.86
1679924880,269.05,269.11,268.82,269.11
1679924940,269.0,269.26,268.93,269.22
1679925000,268.7,269.26,268.7,269.17
1679925060,269.17,269.61,269.17,269.61
1679925120,269.6,269.7,269.42,269.57
1679925180,269.3,269.32,269.07,269.18
1679925240,268.7,268.72,268.45,268.63
1679925300,268.38,268.59,268.22,268.59
1679925360,268.75,268.83,268.3,268.4
1679925420,268.42,268.42,268.0,268.0
1679925480,268.07,268.225,268.03,268.08
1679925540,268.11,268.47,268.11,268.46
1679925600,268.36,268.68,268.24,268.68
1679925660,268.9,269.32,268.9,268.96
1679925720,269.03,269.07,268.96,268.96
1679925780,268.855,269.29,268.855,269.28
1679925840,269.19,269.19,269.0,269.0
1679925900,269.34,269.52,269.28,269.3
1679925960,269.44,269.44,268.8,269.02
1679926020,269.02,269.75,269.02,269.75
1679926080,269.73,269.91,269.55,269.55
1679926140,269.61,269.76,269.5,269.76
1679926200,269.63,269.71,269.63,269.71
1679926260,269.4,269.6,269.39,269.6
1679926320,269.3,269.32,269.13,269.24
1679926380,269.31,269.31,269.0,269.24
1679926440,268.93,268.93,268.72,268.72
1679926500,269.05,269.05,268.97,268.97
1679926560,268.83,268.83,268.45,268.45
1679926620,268.61,268.61,267.99,268.38
1679926680,268.41,268.53,268.24,268.53
1679926740,268.44,268.675,268.44,268.675
1679926800,268.58,268.64,268.57,268.64
1679926860,268.62,268.62,268.5,268.5
1679926920,268.4,268.87,268.33,268.87
1679926980,268.94,268.97,268.91,268.91
1679927040,268.86,268.94,268.86,268.9
1679927100,268.89,268.92,268.38,268.38
1679927160,268.25,268.27,268.14,268.25
1679927220,268.17,268.24,268.1,268.24
1679927280,268.12,268.12,267.87,267.94
1679927340,267.72,268.08,267.62,268.08
1679927400,267.97,267.97,267.27,267.27
1679927460,267.29,267.57,267.29,267.4
1679927520,267.49,267.81,267.49,267.72
1679927580,267.74,267.74,267.47,267.6
1679927640,267.53,267.53,267.28,267.49
1679927700,267.47,267.51,267.17,267.225
1679927760,267.45,267.48,267.45,267.48
1679927820,267.39,267.39,267.38,267.38
1679927880,267.41,267.41,267.16,267.26
1679927940,267.61,267.9,267.59,267.8
1679928000,267.98,268.05,267.84,268.0
1679928060,267.74,268.0,267.74,267.9
1679928120,267.83,268.0,267.79,268.0
1679928180,267.68,267.9,267.68,267.9
1679928240,267.87,267.93,267.76,267.76
1679928300,267.54,267.94,267.45,267.75
1679928360,267.91,268.32,267.91,268.32
1679928420,268.4,268.49,268.39,268.49
1679928480,268.72,268.72,268.3,268.3
1679928540,268.42,268.42,268.26,268.4
1679928600,268.34,268.34,268.34,268.34
1679928660,268.39,268.39,268.39,268.39
1679928720,268.35,268.35,268.14,268.14
1679928840,268.5,268.7,268.5,268.7
1679928900,268.78,268.78,268.74,268.74
1679928960,268.7,268.71,268.57,268.61
1679929020,268.63,268.63,268.2,268.2
1679929080,268.07,268.07,267.63,267.65
1679929140,267.56,267.63,267.28,267.29
1679929200,267.15,267.36,266.85,267.13
1679929260,267.13,267.4,267.13,267.36
1679929320,267.18,267.18,266.64,266.74
1679929380,267.05,267.06,266.78,266.78
1679929440,266.56,266.67,266.56,266.62
1679929500,266.4,266.57,266.37,266.5
1679929560,266.41,266.62,266.41,266.47
1679929620,266.32,266.4,266.3,266.37
1679929680,266.28,266.61,266.17,266.48
1679929740,266.13,266.15,265.7,265.79
1679929800,265.71,265.92,265.67,265.81
1679929860,265.75,266.03,265.75,266.03
1679929920,266.11,266.31,266.11,266.31
1679929980,266.3,266.42,266.3,266.37
1679930040,266.45,266.45,266.21,266.27
1679930100,266.1,266.1,266.1,266.1
1679930160,266.33,266.33,266.14,266.14
1679930220,266.2,266.53,266.06,266.53
1679930280,266.43,266.5,266.43,266.46
1679930340,266.46,266.47,266.2,266.38
1679930400,266.38,266.45,266.26,266.38
1679930460,266.7,266.7,266.45,266.66
1679930520,266.64,266.64,266.49,266.49
1679930580,266.38,266.38,266.2,266.2
1679930640,266.11,266.11,266.06,266.07
1679930700,266.21,266.21,265.99,266.15
1679930760,266.2,266.24,265.99,266.09
1679930820,266.08,266.08,266.08,266.08
1679930880,266.08,266.08,265.96,265.96
1679930940,266.25,266.46,266.25,266.33
1679931000,266.21,266.5,266.21,266.41
1679931060,266.33,266.41,266.2,266.32
1679931120,266.28,266.49,266.1,266.47
1679931180,266.58,266.58,266.38,266.46
1679931240,266.29,266.4,266.18,266.4
1679931300,266.44,266.76,266.44,266.73
1679931360,266.87,266.87,266.48,266.73
1679931420,266.57,266.6,266.54,266.6
1679931480,266.5,266.54,266.5,266.54
1679931540,266.57,266.69,266.57,266.69
1679931600,266.51,266.51,266.27,266.27
1679931660,266.32,266.32,266.15,266.15
1679931720,266.12,266.12,265.65,265.79
1679931780,265.76,266.11,265.75,266.11
1679931840,266.22,266.32,266.19,266.31
1679931900,266.28,266.31,266.21,266.21
1679931960,266.09,266.09,266.01,266.04
1679932080,265.96,265.96,265.66,265.66
1679932140,265.69,265.81,265.41,265.44
1679932200,265.37,265.37,265.15,265.22
1679932260,265.23,265.33,265.1,265.2
1679932320,265.35,265.35,264.9,264.98
1679932380,264.86,265.0,264.77,264.77
1679932440,264.75,264.77,264.51,264.51
1679932500,264.48,264.53,263.99,264.04
1679932560,264.05,264.05,263.67,263.76
1679932620,263.8,263.92,263.8,263.88
1679932680,263.9,264.3,263.785,264.3
1679932740,264.36,264.36,264.14,264.14
1679932800,264.05,264.35,264.03,264.26
1679932860,264.3,264.3,264.13,264.13
1679932920,264.2,264.31,263.73,263.75
1679932980,263.89,264.09,263.84,263.95
1679933040,264.1,264.24,264.06,264.24
1679933100,264.19,264.26,264.19,264.21
1679933160,263.78,264.06,263.78,264.06
1679933220,264.14,264.14,264.12,264.12
1679933280,264.13,264.13,264.005,264.005
1679933340,264.06,264.16,264.06,264.16
1679933400,264.2,264.2,264.0,264.05
1679933460,264.06,264.15,264.06,264.07
1679933520,263.98,263.99,263.91,263.99
1679933580,264.11,264.14,263.95,264.14
1679933640,264.1,264.1,264.04,264.07
1679933700,264.11,264.29,264.11,264.29
1679933760,264.34,264.6,264.31,264.59
1679933820,264.51,264.57,264.49,264.49
1679933880,264.67,264.78,264.65,264.7
1679933940,264.85,264.85,264.79,264.79
1679934000,264.785,264.8,264.67,264.8
1679934060,264.81,265.02,264.61,264.61
1679934120,264.59,264.66,264.57,264.66
1679934180,264.69,264.7,264.59,264.69
1679934240,264.77,265.06,264.77,265.06
1679934300,265.0,265.21,264.99,265.21
1679934360,265.17,265.17,264.96,265.14
1679934420,265.03,265.19,264.99,265.19
1679934480,265.22,265.36,265.18,265.24
1679934540,265.38,265.41,265.38,265.41
1679934600,265.41,265.41,265.35,265.35
1679934720,265.12,265.12,264.95,264.95
1679934780,265.06,265.06,264.93,264.93
1679934840,264.91,264.91,264.73,264.79
1679934900,264.74,264.88,264.74,264.79
1679934960,264.69,264.87,264.59,264.84
1679935020,264.93,264.93,264.72,264.74
1679935080,264.68,264.9,264.68,264.9
1679935140,264.9,264.9,264.9,264.9
1679935200,264.3,264.3,264.2,264.2
1679935260,264.18,264.19,263.88,263.88
1679935320,263.91,264.14,263.91,264.14
1679935380,264.21,264.21,264.21,264.21
1679935440,264.09,264.4,264.09,264.4
1679935500,264.73,264.73,264.49,264.49
1679935560,264.61,264.74,264.61,264.74
1679935620,264.725,264.77,264.61,264.61
1679935740,264.82,264.82,264.82,264.82
1679935800,264.86,265.2,264.86,265.2
1679935860,265.24,265.24,265.1,265.15
1679935920,265.22,265.22,265.01,265.15
1679935980,265.24,265.48,265.24,265.38
1679936040,265.38,265.58,265.27,265.58
1679936100,265.42,265.42,265.33,265.33
1679936160,265.5,265.5,265.5,265.5
1679936220,265.36,265.36,265.3,265.3
1679936280,265.25,265.33,265.16,265.26
1679936340,265.32,265.32,265.32,265.32
1679936400,265.4,265.45,265.39,265.39
1679936460,265.44,265.44,265.44,265.44
1679936520,265.61,265.61,265.06,265.06
1679936580,265.59,265.66,265.59,265.66
1679936640,265.68,265.7,265.67,265.7
1679936700,265.57,265.82,265.5,265.82
1679936760,265.73,265.95,265.72,265.95
1679936820,266.01,266.19,266.0,266.1
1679936880,266.2,266.34,266.2,266.25
1679936940,266.22,266.22,265.82,265.82
1679937000,265.84,265.85,265.74,265.74
1679937060,265.55,265.55,265.14,265.14
1679937120,265.14,265.4,265.14,265.4
1679937180,265.06,265.06,265.06,265.06
1679937240,265.23,265.23,265.23,265.23
1679937300,265.08,265.14,265.08,265.14
1679937360,264.97,264.97,264.97,264.97
1679937420,264.96,264.96,264.96,264.96
1679937480,265.11,265.11,265.04,265.1
1679937540,265.1,265.28,265.1,265.28
1679937600,265.46,265.46,265.46,265.46
1679937660,265.51,265.51,265.48,265.48
1679937720,265.67,265.85,265.67,265.76
1679937780,265.75,265.75,265.75,265.75
1679937840,265.65,265.84,265.65,265.7
1679937900,265.7,265.7,265.62,265.62
1679937960,265.7,265.71,265.62,265.62
1679938020,265.71,265.73,265.71,265.73
1679938080,265.69,265.69,265.69,265.69
1679938140,265.84,265.84,265.78,265.81
1679938200,265.8,266.09,265.8,266.09
1679938260,265.9,265.9,265.9,265.9
1679938320,265.8,265.84,265.8,265.84
1679938380,265.9,265.9,265.8,265.8
1679938440,265.9,266.03,265.86,266.03
1679938560,266.11,266.11,266.0,266.01
1679938620,266.15,266.38,266.15,266.38
1679938680,266.44,266.44,266.22,266.32
1679938740,266.25,266.5,266.22,266.5
1679938800,266.64,266.76,266.64,266.76
1679938860,266.92,266.92,266.69,266.7
1679938920,266.6,266.7,266.57,266.7
1679938980,266.63,266.7,266.63,266.7
